iD,N,mu,T,m,q,C2,err
0,50,0.6,1.925,-0.0033559999999999996,0.0001459768,1.332568603720045,0.17781526234624506
0,50,1.0,1.175,0.002164,0.00011051759999999999,3.6082424151741668,0.1486266606213097
0,50,2.0,0.575,-0.908576,0.8726718672000001,0.11124682401769707,274.3704030969118
0,50,0.7,1.4,0.0009400000000000003,8.164880000000002e-05,2.1215847717502694,0.1600268251220497
0,50,1.5,1.7,9.999999999999953e-05,0.00014103920000000002,1.8347710294792225,0.16767148276340418
0,50,0.8,1.025,0.0005680000000000001,0.00016353119999999998,3.734645224055587,0.15707384659538995
0,50,1.6,0.875,0.030692,0.0010358440000000002,26.851658820811352,0.8293386320168014
0,50,0.7,1.475,0.00024400000000000018,6.6052e-05,1.7212095521933584,0.15789470797242644
0,50,0.3,0.65,0.0008560000000000002,8.878079999999999e-05,4.956688554296697,0.14792772825355976
0,50,1.8,0.575,-0.028503999999999995,0.0010806960000000001,28.468955684122697,38.66820778581078
0,50,1.4,1.175,-0.002744,7.56032e-05,4.823866829723949,0.1614927636048185
0,50,0.2,1.925,-0.0005279999999999998,0.00011682080000000001,1.3519466016399877,0.1838823091315472
0,50,1.9,0.65,-0.6687679999999999,0.4751471728,7.418572682454097,338.44923563464664
0,50,1.5,1.25,0.0037960000000000003,8.580399999999998e-05,4.157436649524978,0.17132637829159902
0,50,1.3,1.325,-0.0027040000000000002,0.0001350144,1.89683212690275,0.15066725765426997
0,50,2.0,1.85,-0.0023480000000000003,6.76552e-05,4.784179014189392,0.20377269672211512
