iD,N,mu,T,tau,err
0,50,0.1,0.65,0.4679755366171871,0.22901339753297978
0,50,1.4,0.875,0.4313249638134299,0.18444663324077604
0,50,0.9,0.95,0.4288302847220535,0.1664970177581591
0,50,0.0,1.475,0.42790089908575385,0.15189160268349625
0,50,1.2,1.175,0.422995621842643,0.1702255881059083
0,50,0.4,1.925,0.4276416887014879,0.181517764095855
0,50,0.8,1.625,0.42933115999155524,0.15967929535699724
0,50,1.0,0.875,0.4297393211775046,0.1503573867178991
0,50,0.9,2.0,0.4290061351876206,0.18243945775669296
0,50,0.5,0.65,0.4393620139857671,0.18923303158634858
0,50,0.1,1.475,0.4308022451054589,0.15849683352820648
